GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,PLAYER_ID,FULL_NAME
Assisted Shot,Assisted,85,85,1.0,58,58,1.0,1.341,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1628415,Dillon Brooks
Assisted Shot,Unassisted,46,46,1.0,5,5,1.0,1.054,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1628415,Dillon Brooks
Assisted Shot,Assisted,41,41,1.0,14,14,1.0,1.171,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1631232,Keion Brooks Jr.
Assisted Shot,Unassisted,11,11,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1631232,Keion Brooks Jr.
Assisted Shot,Assisted,51,51,1.0,15,15,1.0,1.147,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1628971,Bruce Brown
Assisted Shot,Unassisted,19,19,1.0,1,1,1.0,1.026,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1628971,Bruce Brown
Assisted Shot,Assisted,54,54,1.0,16,16,1.0,1.148,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1627759,Jaylen Brown
Assisted Shot,Unassisted,72,72,1.0,11,11,1.0,1.076,0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1627759,Jaylen Brown
Assisted Shot,Assisted,4,4,1.0,2,2,1.0,1.25,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1641738,Kobe Brown
Assisted Shot,Unassisted,3,3,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1641738,Kobe Brown
Assisted Shot,Assisted,14,14,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1629650,Moses Brown
Assisted Shot,Unassisted,7,7,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1629650,Moses Brown
Assisted Shot,Assisted,33,33,1.0,12,12,1.0,1.182,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,2,2,1,1,1,1,2,1,2,1,2,1628973,Jalen Brunson
Assisted Shot,Unassisted,74,74,1.0,18,18,1.0,1.122,0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1628973,Jalen Brunson
Assisted Shot,Assisted,51,51,1.0,43,43,1.0,1.422,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,202692,Alec Burks
Assisted Shot,Unassisted,7,7,1.0,3,3,1.0,1.214,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,202692,Alec Burks
Assisted Shot,Assisted,54,54,1.0,35,35,1.0,1.324,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1630215,Jared Butler
Assisted Shot,Unassisted,53,53,1.0,8,8,1.0,1.075,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1630215,Jared Butler
Assisted Shot,Assisted,80,80,1.0,16,16,1.0,1.1,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,202710,Jimmy Butler III
Assisted Shot,Unassisted,54,54,1.0,2,2,1.0,1.019,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,202710,Jimmy Butler III
Assisted Shot,Assisted,100,100,1.0,47,47,1.0,1.235,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1641824,Matas Buzelis
Assisted Shot,Unassisted,29,29,1.0,1,1,1.0,1.017,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1641824,Matas Buzelis
Assisted Shot,Assisted,29,29,1.0,13,13,1.0,1.224,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1631288,Jamal Cain
Assisted Shot,Unassisted,13,13,1.0,3,3,1.0,1.115,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1631288,Jamal Cain
